"STATION","NAME","DATE","DP10","DT32","DX90","PRCP","TAVG","TMAX","TMIN"
"USC00027716","SELIGMAN, AZ US","2012-10","1","6","0","0.13","57.4","77.2","37.6"
"USC00027716","SELIGMAN, AZ US","2012-11","0","23","0","0.00","47.6","67.1","27.9"
"USC00027716","SELIGMAN, AZ US","2012-12","3","29","0","0.79","36.5","50.7","22.2"
"USC00027716","SELIGMAN, AZ US","2013-01","3","27","0","1.60","35.8","51.0","20.6"
"USC00027716","SELIGMAN, AZ US","2013-02","1","26","0","0.27","37.4","54.2","20.6"
"USC00027716","SELIGMAN, AZ US","2013-03","0","24","0","0.16","48.6","68.6","28.6"
"USC00027716","SELIGMAN, AZ US","2013-04","0","17","0","0.00","52.6","72.4","32.8"
"USC00027716","SELIGMAN, AZ US","2013-05","0","1","1","0.00","60.3","79.6","41.0"
"USC00027716","SELIGMAN, AZ US","2013-06","0","0","23","0.00","72.1","93.1","51.1"
"USC00027716","SELIGMAN, AZ US","2013-07","8","0","22","1.68","76.2","91.4","61.1"
"USC00027716","SELIGMAN, AZ US","2013-08","7","0","18","2.61","72.9","89.0","56.8"
"USC00027716","SELIGMAN, AZ US","2013-09","2","0","2","1.06","65.3","81.0","49.5"
"USC00027716","SELIGMAN, AZ US","2013-10","1","12","0","0.22","52.1","70.7","33.4"
"USC00027716","SELIGMAN, AZ US","2013-11","3","23","0","1.05","46.0","62.5","29.6"
"USC00027716","SELIGMAN, AZ US","2013-12","1","31","0","0.20","36.9","53.1","20.8"
"USC00027716","SELIGMAN, AZ US","2014-01","1","27","0","0.14","42.0","61.6","22.5"
"USC00027716","SELIGMAN, AZ US","2014-02","1","28","0","0.20","43.5","62.1","24.8"
"USC00027716","SELIGMAN, AZ US","2014-03","2","19","0","0.41","48.6","66.8","30.5"
"USC00027716","SELIGMAN, AZ US","2014-04","3","11","0","0.57","52.8","72.1","33.5"
"USC00027716","SELIGMAN, AZ US","2014-05","0","1","3","0.00","60.2","79.1","41.3"
"USC00027716","SELIGMAN, AZ US","2014-06","0",,,"0.00",,,
"USC00027716","SELIGMAN, AZ US","2014-07","4",,,"1.87",,,
"USC00027716","SELIGMAN, AZ US","2014-08","6","0","9","2.79","69.8","84.5","55.1"
"USC00027716","SELIGMAN, AZ US","2014-09","4","0","8","2.11","68.0","85.1","50.8"
"USC00027716","SELIGMAN, AZ US","2014-10","1","1","0","0.16","59.5","78.2","40.7"
"USC00027716","SELIGMAN, AZ US","2014-11","0","24","0","0.00","46.4","65.0","27.8"
"USC00027716","SELIGMAN, AZ US","2014-12","5","22","0","2.32","40.5","53.0","28.1"
"USC00027716","SELIGMAN, AZ US","2015-01","5","23","0","1.68","41.1","55.7","26.5"
"USC00027716","SELIGMAN, AZ US","2015-02","1","23","0","0.50","47.0","65.8","28.2"
"USC00027716","SELIGMAN, AZ US","2015-03","2","15","0","1.20","50.5","69.0","32.0"
"USC00027716","SELIGMAN, AZ US","2015-04","1","14","0","0.45","51.5","70.3","32.7"
"USC00027716","SELIGMAN, AZ US","2015-05","2","2","1","0.63","56.1","72.4","39.9"
"USC00027716","SELIGMAN, AZ US","2015-06","1","0","18","0.30","71.6","90.6","52.7"
"USC00027716","SELIGMAN, AZ US","2015-07","5","0","13","1.88","72.5","88.2","56.8"
"USC00027716","SELIGMAN, AZ US","2015-08","4",,,"1.74",,,
"USC00027716","SELIGMAN, AZ US","2015-09","5","0","9","1.48","69.4","86.5","52.3"
"USC00027716","SELIGMAN, AZ US","2015-10","4","1","0","1.44","59.5","74.2","44.8"
"USC00027716","SELIGMAN, AZ US","2015-11","1","23","0","0.28","43.1","58.7","27.5"
"USC00027716","SELIGMAN, AZ US","2015-12","0","30","0","0.12","36.3","53.1","19.5"
"USC00027716","SELIGMAN, AZ US","2016-01","3","28","0","0.82","38.3","52.8","23.7"
"USC00027716","SELIGMAN, AZ US","2016-02","0","27","0","0.00","45.4","66.8","23.9"
"USC00027716","SELIGMAN, AZ US","2016-03","1","25","0","0.25","48.2","68.4","28.0"
"USC00027716","SELIGMAN, AZ US","2016-04","5","8","0","1.07","53.0","70.1","35.9"
